instance,type,count,search
0xacab.org,git,1,950
agile.bu.edu,git,72,
arcgl.wpi.edu,git,29,
chaos.expert,git,364,
class-git.engineering.uiowa.edu,git,17,
cm-gitlab.stanford.edu,git,48,
code.cs.earlham.edu,git,86,
code.europa.eu,git,603,
code.ffdn.org,git,118,
code.mayfirst.org,git,30,
code.peren.fr,git,42,
code.stanford.edu,git,467,
code.umd.edu,git,51,
code.videolan.org,git,2,229
code.vt.edu,git,729,
code.wm.edu,git,55,
codebase.helmholtz.cloud,git,1,266
csgitlab.reading.ac.uk,git,937,
depot.lipn.univ-paris13.fr,git,113,
forge-2.ircam.fr,git,27,
forge.aeif.fr,git,573,
forge.apps.education.fr,git,1,310
forge.univ-lyon1.fr,git,1,400
forgemia.inra.fr,git,1,786
framagit.org,git,27,279
gaufre.informatique.univ-paris-diderot.fr,git,769,
git-ce.rwth-aachen.de,git,412,
git-cral.univ-lyon1.fr,git,27,
git-st.inf.tu-dresden.de,git,165,
git-xen.lmgc.univ-montp2.fr,git,21,
git.aae.wisc.edu,git,16,
git.abfelbaum.dev,git,23,
git.abscue.de,git,38,
git.adelielinux.org,git,180,
git.ademe.fr,git,13,
git.aims.ac.za,git,7,
git.antares.id,git,3,
git.app.uib.no,git,4,284
git.archive.org,git,143,
git.argentina.gob.ar,git,5,
git.astron.nl,git,315,
git.autistici.org,git,324,
git.beagleboard.org,git,786,
git.beta.francetravail.fr,git,16,
git.bitmycode.com,git,67,
git.bsse.ethz.ch,git,83,
git.bubu1.eu,git,37,
git.chainmaker.org.cn,git,365,
git.cines.fr,git,38,
git.cloudron.io,git,742,
git.codelinaro.org,git,7,74
git.comnets.net,git,3,
git.compilenix.org,git,72,
git.congatec.com,git,95,
git.coop,git,489,
git.cs.du.edu,git,153,
git.cs.rit.edu,git,36,
git.cs.sun.ac.za,git,24,
git.cs.vt.edu,git,264,
git.cybertron.fr,git,30,
git.dbogatov.org,git,36,
git.dcc.sib.swiss,git,43,
git.defproc.co.uk,git,24,
git.dhvlab.org,git,6,
git.do.srb2.org,git,240,
git.doit.wisc.edu,git,593,
git.drk.sc,git,113,
git.drupalcode.org,git,57,875
git.dst.etit.tu-chemnitz.de,git,6,
git.duniter.org,git,437,
git.dynare.org,git,102,
git.ecdf.ed.ac.uk,git,806,
git.ece.iastate.edu,git,289,
git.ee.ethz.ch,git,9,
git.elektro.dtu.dk,git,5,
git.eleves.ens.fr,git,258,
git.embl.de,git,785,
git.eta.st,git,99,
git.exeter.ac.uk,git,75,
git.fairkom.net,git,314,
git.fdn.fr,git,8,
git.fim.uni-passau.de,git,88,
git.floragunn.com,git,28,
git.flow3r.garden,git,537,
git.fmrib.ox.ac.uk,git,622,
git.forum.ircam.fr,git,2,699
git.frama-c.com,git,37,
git.fs.lmu.de,git,47,
git.glasklar.is,git,102,
git.gsi.de,git,476,
git.hardenedbsd.org,git,134,
git.harrault.fr,git,33,
git.iac.ethz.ch,git,63,
git.ias.u-psud.fr,git,136,
git.icare.univ-lille.fr,git,11,
git.iccas.de,git,8,
git.icinga.com,git,102,
git.iem.at,git,396,
git.imp.fu-berlin.de,git,663,
git.in.moodle.com,git,30,
git.informatik.uni-leipzig.de,git,498,
git.informatik.uni-rostock.de,git,123,
git.inpt.fr,git,144,
git.insomnia247.nl,git,79,
git.ircad.fr,git,14,
git.ispconfig.org,git,294,
git.ista.ac.at,git,133,
git.iws.uni-stuttgart.de,git,205,
git.jami.net,git,19,
git.jekel.ca,git,61,
git.kkg.berlin,git,32,
git.kuschku.de,git,65,
git.lacl.fr,git,29,
git.laquadrature.net,git,205,
git.lavasoftware.org,git,128,
git.leximpact.dev,git,40,
git.lfb.rwth-aachen.de,git,4,
git.ligo.org,git,2,638
git.loe.auf.uni-rostock.de,git,33,
git.lysator.liu.se,git,242,
git.math.uzh.ch,git,130,
git.maths.cam.ac.uk,git,3,
git.mchi.mcgill.ca,git,14,
git.metabarcoding.org,git,29,
git.microline.ru,git,9,
git.morello-project.org,git,203,
git.mpib-berlin.mpg.de,git,460,
git.mst.edu,git,269,
git.ncsa.illinois.edu,git,65,
git.opencarp.org,git,21,
git.openlogisticsfoundation.org,git,80,
git.passcal.nmt.edu,git,39,
git.puscii.nl,git,64,
git.ralph.or.at,git,13,
git.rwth-aachen.de,git,3,675
git.scicore.unibas.ch,git,90,
git.science.uu.nl,git,472,
git.scipost.org,git,37,
git.softwrestling.org,git,5,
git.spip.net,git,1,615
git.tardisproject.uk,git,32,
git.thm.de,git,1,174
git.ucsc.edu,git,467,
git.ufz.de,git,257,
git.uiowa.edu,git,23,
git.unicaen.fr,git,244,
git.univ-pau.fr,git,162,
git.uwaterloo.ca,git,3,230
git.wur.nl,git,922,
gitbio.ens-lyon.fr,git,98,
gitcrcm.marseille.inserm.fr,git,20,
gite.lirmm.fr,git,968,
gitext.faps.fau.de,git,1,
gitgud.io,git,9,311
gitlab-fil.univ-lille.fr,git,222,
gitlab-forge.din.developpement-durable.gouv.fr,git,165,
gitlab-forschung.reutlingen-university.de,git,27,
gitlab-mi.univ-reims.fr,git,155,
gitlab-new.bap.jp,git,139,
gitlab-perspicuous-computing-science.mpi-klsb.mpg.de,git,4,
gitlab-research.centralesupelec.fr,git,265,
gitlab-student.centralesupelec.fr,git,874,
gitlab-test.compute.dtu.dk,git,21,
gitlab.act.reading.ac.uk,git,245,
gitlab.adullact.net,git,673,
gitlab.alpinelinux.org,git,1,626
gitlab.amd.e-technik.uni-rostock.de,git,94,
gitlab.anu.edu.au,git,116,
gitlab.apertis.org,git,7,539
gitlab.archlinux.org,git,14,824
gitlab.arm.com,git,234,
gitlab.bacula.org,git,4,
gitlab.beilich.de,git,26,
gitlab.bixilon.de,git,76,
gitlab.brokenpipe.de,git,59,
gitlab.bsc.es,git,441,
gitlab.bzed.at,git,132,
gitlab.catalyst.net.nz,git,3,
gitlab.cba.mit.edu,git,288,
gitlab.ccsd.cnrs.fr,git,2,
gitlab.cecs.anu.edu.au,git,411,
gitlab.cecs.pdx.edu,git,279,
gitlab.cemea.org,git,17,
gitlab.cerema.fr,git,36,
gitlab.cern.ch,git,20,284
gitlab.chab.ethz.ch,git,6,
gitlab.chara.gsu.edu,git,3,
gitlab.chise.org,git,33,
gitlab.cirad.fr,git,78,
gitlab.cis.uni-muenchen.de,git,23,
gitlab.citic.udc.es,git,13,
gitlab.cobolworx.com,git,12,
gitlab.codelutin.com,git,148,
gitlab.coko.foundation,git,572,
gitlab.collabora.com,git,1,99
gitlab.college-de-france.fr,git,15,
gitlab.common-lisp.net,git,939,
gitlab.constantvzw.org,git,683,
gitlab.crans.org,git,536,
gitlab.cri.epita.fr,git,133,
gitlab.cristal.univ-lille.fr,git,90,
gitlab.cs.duke.edu,git,57,
gitlab.cs.ksu.edu,git,70,
gitlab.cs.mcgill.ca,git,104,
gitlab.cs.olemiss.edu,git,13,
gitlab.cse.iitb.ac.in,git,501,
gitlab.csn.tu-chemnitz.de,git,1,
gitlab.cwp.govt.nz,git,56,
gitlab.deep-nope.me,git,50,
gitlab.denx.de,git,79,
gitlab.depp.education.fr,git,2,
gitlab.depp.it,git,37,
gitlab.developers.cam.ac.uk,git,948,
gitlab.di.unipmn.it,git,102,
gitlab.digilol.net,git,7,
gitlab.digitalcourage.de,git,47,
gitlab.dkrz.de,git,262,
gitlab.dragonflyaerospace.com,git,10,
gitlab.dune-project.org,git,588,
gitlab.e.foundation,git,532,
gitlab.ebi.ac.uk,git,452,
gitlab.ebrains.eu,git,201,
gitlab.echothree.com,git,24,
gitlab.eclipse.org,git,2,116
gitlab.eientei.org,git,60,
gitlab.eif.urjc.es,git,4,109
gitlab.elaine.uni-rostock.de,git,7,
gitlab.emi.u-bordeaux.fr,git,126,
gitlab.eng.unimelb.edu.au,git,194,
gitlab.engr.illinois.edu,git,1,285
gitlab.enpc.fr,git,39,
gitlab.enssat.fr,git,139,
gitlab.epfl.ch,git,769,
gitlab.erc-atmo.eu,git,12,
gitlab.esrf.fr,git,760,
gitlab.esss.lu.se,git,3,665
gitlab.ethz.ch,git,2,99
gitlab.etude.cy-tech.fr,git,366,
gitlab.eurecom.fr,git,1,125
gitlab.exherbo.org,git,1,234
gitlab.fel.cvut.cz,git,2,810
gitlab.fhnw.ch,git,1,192
gitlab.fi.muni.cz,git,971,
gitlab.fim.uni-passau.de,git,88,
gitlab.finki.ukim.mk,git,169,
gitlab.fit.cvut.cz,git,2,145
gitlab.fjfi.cvut.cz,git,123,
gitlab.flux.utah.edu,git,783,
gitlab.forge.hefr.ch,git,659,
gitlab.freedesktop.org,git,14,695
gitlab.fresnel.fr,git,20,
gitlab.fsinf.at,git,1,
gitlab.fusiondirectory.org,git,51,
gitlab.fuss.bz.it,git,44,
gitlab.futo.org,git,56,
gitlab.galileo.usg.edu,git,36,
gitlab.gbar.dtu.dk,git,852,
gitlab.gflclan.com,git,92,
gitlab.gnome.org,git,22,671
gitlab.gnugen.ch,git,110,
gitlab.grnet.gr,git,158,
gitlab.gwdg.de,git,3,66
gitlab.has-sante.fr,git,21,
gitlab.haskell.org,git,1,223
gitlab.hrz.tu-chemnitz.de,git,447,
gitlab.huma-num.fr,git,920,
gitlab.humanbrainproject.org,git,2,
gitlab.ics.muni.cz,git,621,
gitlab.ifi.lmu.de,git,18,
gitlab.ifremer.fr,git,277,
gitlab.iiep.unesco.org,git,11,
gitlab.imo.universite-paris-saclay.fr,git,13,
gitlab.imt-atlantique.fr,git,470,
gitlab.incom.co,git,563,
gitlab.inf.ethz.ch,git,42,
gitlab.inf.telecom-sudparis.eu,git,37,
gitlab.informatik.hu-berlin.de,git,300,
gitlab.infosun.fim.uni-passau.de,git,13,
gitlab.inha.fr,git,35,
gitlab.inria.fr,git,6,450
gitlab.iqrf.org,git,68,
gitlab.irit.fr,git,139,
gitlab.irstea.fr,git,328,
gitlab.isae-supaero.fr,git,149,
gitlab.isc.org,git,127,
gitlab.isima.fr,git,1,231
gitlab.it.mcgill.ca,git,4,
gitlab.ito.umt.edu,git,11,
gitlab.iut-blagnac.fr,git,26,
gitlab.kit.edu,git,672,
gitlab.kitware.com,git,5,180
gitlab.kwant-project.org,git,317,
gitlab.lam.fr,git,57,
gitlab.lava.polymtl.ca,git,52,
gitlab.lcsb.uni.lu,git,533,
gitlab.lib.utah.edu,git,1,
gitlab.libresilicon.com,git,15,
gitlab.limos.fr,git,68,
gitlab.linphone.org,git,157,
gitlab.linux.community,git,102,
gitlab.lip6.fr,git,159,
gitlab.liris.cnrs.fr,git,158,
gitlab.lis-lab.fr,git,162,
gitlab.lisn.upsaclay.fr,git,122,
gitlab.lms.tf.fau.de,git,20,
gitlab.lrz.de,git,554,
gitlab.maisondelasimulation.fr,git,22,
gitlab.manjaro.org,git,3,423
gitlab.math.ethz.ch,git,31,
gitlab.math.unistra.fr,git,69,
gitlab.math.univ-paris-diderot.fr,git,75,
gitlab.maths.lu.se,git,31,
gitlab.matrix.org,git,14,
gitlab.mbb.cnrs.fr,git,149,
gitlab.meca.polymtl.ca,git,16,
gitlab.met.fu-berlin.de,git,26,
gitlab.metager.de,git,45,
gitlab.mim-libre.fr,git,481,
gitlab.mis.mpg.de,git,34,
gitlab.mjus.gba.gob.ar,git,4,
gitlab.mobilites-m.fr,git,14,
gitlab.mpcdf.mpg.de,git,1,219
gitlab.mpi-klsb.mpg.de,git,71,
gitlab.mpi-magdeburg.mpg.de,git,55,
gitlab.mpi-sws.org,git,392,
gitlab.mpim-bonn.mpg.de,git,1,
gitlab.mpip-mainz.mpg.de,git,3,
gitlab.msu.edu,git,1,95
gitlab.multiscale.utah.edu,git,20,
gitlab.nic.cz,git,538,
gitlab.nomagic.uk,git,28,
gitlab.nuiton.org,git,148,
gitlab.obspm.fr,git,266,
gitlab.oca.eu,git,95,
gitlab.oit.duke.edu,git,3,472
gitlab.onelab.info,git,28,
gitlab.opencode.de,git,886,
gitlab.opengeosys.org,git,146,
gitlab.orc.gmu.edu,git,22,
gitlab.orfeo-toolbox.org,git,101,
gitlab.ow2.org,git,1,700
gitlab.paca.inrae.fr,git,35,
gitlab.pam-retd.fr,git,13,
gitlab.pasteur.fr,git,703,
gitlab.pedago.ensiie.fr,git,126,
gitlab.phaidra.org,git,139,
gitlab.phys.ethz.ch,git,96,
gitlab.physik.lmu.de,git,186,
gitlab.pik-potsdam.de,git,155,
gitlab.pks.mpg.de,git,22,
gitlab.pmcs2i.ec-lyon.fr,git,5,
gitlab.pod.cvut.cz,git,2,
gitlab.priv.socib.es,git,1,
gitlab.psi.ch,git,351,
gitlab.pyicu.org,git,4,
gitlab.raptorengineering.com,git,240,
gitlab.ras.byu.edu,git,12,
gitlab.redox-os.org,git,1,603
gitlab.reutlingen-university.de,git,199,
gitlab.riscosopen.org,git,1,190
gitlab.rm.ingv.it,git,52,
gitlab.roessner-net.de,git,20,
gitlab.rpbs.univ-paris-diderot.fr,git,22,
gitlab.rrz.uni-hamburg.de,git,247,
gitlab.rrze.fau.de,git,88,
gitlab.savoirfairelinux.com,git,19,
gitlab.science.mcgill.ca,git,12,
gitlab.science.ru.nl,git,688,
gitlab.scss.tcd.ie,git,506,
gitlab.se.ifmo.ru,git,5,144
gitlab.seismo.ethz.ch,git,57,
gitlab.shinice.net,git,8,
gitlab.sib.swiss,git,105,
gitlab.siilicloud.com,git,16,
gitlab.snt.utwente.nl,git,47,
gitlab.socs.uoguelph.ca,git,95,
gitlab.socsci.ru.nl,git,129,
gitlab.software.imdea.org,git,31,
gitlab.softwareheritage.org,git,510,
gitlab.soraharu.com,git,61,
gitlab.sorbonne-paris-nord.fr,git,167,
gitlab.spline.de,git,225,
gitlab.spseplzen.cz,git,342,
gitlab.ssemi.cz,git,100,
gitlab.stce.rwth-aachen.de,git,23,
gitlab.steamos.cloud,git,20,
gitlab.stud.idi.ntnu.no,git,2,575
gitlab.stums.techfak.fau.de,git,8,
gitlab.summer-ospp.ac.cn,git,1,72
gitlab.surrey.ac.uk,git,624,
gitlab.switch.ch,git,345,
gitlab.synchrotron-soleil.fr,git,248,
gitlab.tails.boum.org,git,134,
gitlab.telecom-paris.fr,git,113,
gitlab.thesourcecoders.de,git,4,
gitlab.tic-ac.org,git,14,
gitlab.torproject.org,git,1,940
gitlab.tpic.com.au,git,5,
gitlab.traverse.com.au,git,18,
gitlab.trisquel.org,git,166,
gitlab.tt-rss.org,git,104,
gitlab.tudelft.nl,git,473,
gitlab.tuebingen.mpg.de,git,76,
gitlab.ub.uni-bielefeld.de,git,572,
gitlab.ucc.asn.au,git,50,
gitlab.ulb.tu-darmstadt.de,git,33,
gitlab.uncompleted.org,git,6,
gitlab.une.edu.au,git,187,
gitlab.uni-oldenburg.de,git,98,
gitlab.uni-trier.de,git,6,
gitlab.uni.lu,git,183,
gitlab.unige.ch,git,823,
gitlab.unimelb.edu.au,git,313,
gitlab.univ-eiffel.fr,git,28,
gitlab.univ-lille.fr,git,2,242
gitlab.univ-lr.fr,git,349,
gitlab.upt.ro,git,570,
gitlab.usegalaxy.org.au,git,1,
gitlab.uspdigital.usp.br,git,909,
gitlab.utc.fr,git,1,498
gitlab.utwente.nl,git,1,562
gitlab.uvm.edu,git,246,
gitlab.vci.rwth-aachen.de:9000,git,231,
gitlab.vg-lab.es,git,25,
gitlab.vgiscience.de,git,107,
gitlab.villejuif.fr,git,2,
gitlab.wifa.uni-leipzig.de,git,2,
gitlab.wikimedia.org,git,2,86
gitlab.windenergy.dtu.dk,git,262,
gitlab.winehq.org,git,647,
gitlab.wm.edu,git,35,
gitlab.worldguard.com.au,git,1,
gitlab.xfce.org,git,236,
gitlab.xiph.org,git,204,
gitlab.xlim.fr,git,58,
gitlab.zapb.de,git,14,
gitlab.zhdk.ch,git,40,
gitlab01.classe.cornell.edu,git,20,
gitlab03.wpi.edu,git,31,
gitlab2.cip.ifi.lmu.de,git,176,
gitlab2.tamucc.edu,git,47,
gitlabev.imtbs-tsp.eu,git,23,
gitlabext.wsl.ch,git,121,
gitlabinfo.iutmontp.univ-montp2.fr,git,491,
gitli.stratum0.org,git,231,
gricad-gitlab.univ-grenoble-alpes.fr,git,2,316
iacgit.ethz.ch,git,63,
invent.kde.org,git,14,888
plmlab.math.cnrs.fr,git,1,557
premonition.stanford.edu,git,28,
projects.sucs.org,git,78,
pss-gitlab.math.univ-paris-diderot.fr,git,22,
repo.cse.taylor.edu,git,25,
salsa.debian.org,git,72,434
source.denx.de,git,107,
source.mnt.re,git,101,
spclgitlab.ethz.ch,git,36,
swen20003.eng.unimelb.edu.au,git,4,
tclgit.epfl.ch,git,8,
undef.tools,git,18,
